"prov","prov_en","prov_code","island"
"ACEH","ACEH",11,"SUMATERA"
"SUMATERA UTARA","NORTH SUMATERA",12,"SUMATERA"
"SUMATERA BARAT","WEST SUMATERA",13,"SUMATERA"
"RIAU","RIAU",14,"SUMATERA"
"JAMBI","JAMBI",15,"SUMATERA"
"SUMATERA SELATAN","SOUTH SUMATERA",16,"SUMATERA"
"BENGKULU","BENGKULU",17,"SUMATERA"
"LAMPUNG","LAMPUNG",18,"SUMATERA"
"KEPULAUAN BANGKA BELITUNG","BANGKA BELITUNG ISLANDS",19,"SUMATERA"
"KEPULAUAN RIAU","RIAU ISLANDS",21,"SUMATERA"
"DAERAH KHUSUS IBUKOTA JAKARTA","SPECIAL CAPITAL REGION OF JAKARTA",31,"JAWA"
"JAWA BARAT","WEST JAVA",32,"JAWA"
"JAWA TENGAH","CENTRAL JAVA",33,"JAWA"
"DAERAH ISTIMEWA YOGYAKARTA","SEPCIAL REGION OF YOGYAKARTA",34,"JAWA"
"JAWA TIMUR","EAST JAVA",35,"JAWA"
"BANTEN","BANTEN",36,"JAWA"
"BALI","BALI",51,"NUSA TENGGARA"
"NUSA TENGGARA BARAT","WEST NUSA TENGGARA",52,"NUSA TENGGARA"
"NUSA TENGGARA TIMUR","EAST NUSA TENGGARA",53,"NUSA TENGGARA"
"KALIMANTAN BARAT","WEST KALIMANTAN",61,"KALIMANTAN"
"KALIMANTAN TENGAH","CENTRAL KALIMANTAN",62,"KALIMANTAN"
"KALIMANTAN SELATAN","SOUTH KALIMANTAN",63,"KALIMANTAN"
"KALIMANTAN TIMUR","EAST KALIMANTAN",64,"KALIMANTAN"
"KALIMANTAN UTARA","NORTH KALIMANTAN",65,"KALIMANTAN"
"SULAWESI UTARA","NORTH SULAWESI",71,"SULAWESI"
"SULAWESI TENGAH","CENTRAL SULAWESI",72,"SULAWESI"
"SULAWESI SELATAN","SOUTH SULAWESI",73,"SULAWESI"
"SULAWESI TENGGARA","SOUTHEAST SULAWESI",74,"SULAWESI"
"GORONTALO","GORONTALO",75,"SULAWESI"
"SULAWESI BARAT","WEST SULAWESI",76,"SULAWESI"
"MALUKU","MALUKU",81,"MALUKU"
"MALUKU UTARA","NORTH MALUKU",82,"MALUKU"
"PAPUA","PAPUA",91,"PAPUA"
"PAPUA BARAT","WEST PAPUA",92,"PAPUA"
